State,City,Department,L1_Role,L1_Email,L2_Role,L2_Email,L3_Role,L3_Email
Andhra Pradesh,Guntur,sanitation,Junior Engineer - Sanitation,je.sanitation.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Sanitation,secy.sanitation@andhrapradesh.gov.in
Andhra Pradesh,Guntur,water,Junior Engineer - Water,je.water.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Water,secy.water@andhrapradesh.gov.in
Andhra Pradesh,Guntur,pwd,Junior Engineer - PWD,je.pwd.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - PWD,secy.pwd@andhrapradesh.gov.in
Andhra Pradesh,Guntur,electricity,Junior Engineer - Electricity,je.electricity.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Electricity,secy.electricity@andhrapradesh.gov.in
Andhra Pradesh,Guntur,encroachment,Junior Engineer - Encroachment,je.encroachment.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Encroachment,secy.encroachment@andhrapradesh.gov.in
Andhra Pradesh,Guntur,horticulture,Junior Engineer - Horticulture,je.horticulture.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Horticulture,secy.horticulture@andhrapradesh.gov.in
Andhra Pradesh,Guntur,health,Junior Engineer - Health,je.health.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Health,secy.health@andhrapradesh.gov.in
Andhra Pradesh,Guntur,revenue,Junior Engineer - Revenue,je.revenue.guntur@andhrapradesh.gov.in,Municipal Commissioner,commissioner.guntur@andhrapradesh.gov.in,Principal Secretary - Revenue,secy.revenue@andhrapradesh.gov.in
Andhra Pradesh,Vijayawada,sanitation,Junior Engineer - Sanitation,je.sanitation.vijayawada@andhrapradesh.gov.in,Municipal Commissioner,commissioner.vijayawada@andhrapradesh.gov.in,Principal Secretary - Sanitation,secy.sanitation@andhrapradesh.gov.in
Andhra Pradesh,Vijayawada,water,Junior Engineer - Water,je.water.vijayawada@andhrapradesh.gov.in,Municipal Commissioner,commissioner.vijayawada@andhrapradesh.gov.in,Principal Secretary - Water,secy.water@andhrapradesh.gov.in
Andhra Pradesh,Vijayawada,pwd,Junior Engineer - PWD,je.pwd.vijayawada@andhrapradesh.gov.in,Municipal Commissioner,commissioner.vijayawada@andhrapradesh.gov.in,Principal Secretary - PWD,secy.pwd@andhrapradesh.gov.in
Andhra Pradesh,Vijayawada,electricity,Junior Engineer - Electricity,je.electricity.vijayawada@andhrapradesh.gov.in,Municipal Commissioner,commissioner.vijayawada@andhrapradesh.gov.in,Principal Secretary - Electricity,secy.electricity@andhrapradesh.gov.in
Andhra Pradesh,Vijayawada,encroachment,Junior Engineer - Encroachment,je.encroachment.vijayawada@andhrapradesh.gov.in,Municipal Commissioner,commissioner.vijayawada@andhrapradesh.gov.in,Principal Secretary - Encroachment,secy.encroachment@andhrapradesh.gov.in
